"","nom","Moudenc_R2","Piquemal_R2","NonVotants_R2"
"228","École élémentaire Armand Leygue",424,243,227
"029","École élémentaire Pierre et Marie Curie",334,424,390
"239","École élémentaire Henri Guillaumet",343,239,498
"123A","Gymnase Montané",309,354,377
"243","École élémentaire Henri Guillaumet",374,164,352
"173","École élémentaire des Sept Deniers",419,303,294
"165A","École maternelle des Ponts Jumeaux",280,215,336
"028","École élémentaire Pierre et Marie Curie",304,372,371
"111","École élémentaire Paul Bert",266,241,469
"054","Maison des Associations",299,389,342
"092","École élémentaire Buffon",256,283,597
"039","Salle Osète",28,24,32
"041","École élémentaire Calvinhac",327,215,290
"072","Maison des Associations",42,118,252
"148A","Gymnase Petit Capitole",200,128,280
"112","École élémentaire Paul Bert",477,249,426
"063","École élémentaire Fabre",450,108,192
"004","Salle Barcelone",288,281,297
"043","Groupe Scolaire Bonhoure",404,295,264
"133","École élémentaire Georges Hyon",118,290,474
"254","Groupe Scolaire Anatole France",282,214,263
"156","École élémentaire des Amidonniers",388,410,345
"152","Gymnase Montané",277,206,226
"114","Gymnase Puig",346,411,323
"251","Groupe Scolaire Anatole France",536,286,324
"199","École élémentaire La Maourine",242,235,328
"015","École élémentaire Bayard",375,388,355
"164","École élémentaire Alfred de Musset",161,207,245
"210","École élémentaire Michoun",448,283,351
"231","École élémentaire Jean Macé",585,123,209
"137","Gymnase Petit Capitole",282,157,479
"246","École élémentaire La Terrasse",412,160,228
"134","Gymnase Petit Capitole",301,243,428
"183A","École élémentaire Lalande",328,227,649
"048","École élémentaire Jean Jaurès",436,401,311
"024","Espace Bonnefoy-Périole",430,433,345
"076","Gymnase Jean Moulin",365,437,329
"243A","École élémentaire Henri Guillaumet",136,214,531
"208","École élémentaire Michoun",306,329,473
"022","École élémentaire Bonnefoy",277,365,340
"069A","Maison des Associations",252,368,265
"020","École élémentaire Bonnefoy",315,403,363
"145","Groupe Scolaire Littre",418,211,515
"185","École élémentaire Lalande",458,211,610
"184","École élémentaire Lalande",241,148,470
"207","École élémentaire Michoun",347,238,374
"219","École élémentaire Soupetard",57,59,94
"061","École élémentaire Fabre",504,213,246
"099","Centre Socio-Culturel Alban Minville",186,293,825
"066","École élémentaire Sauzelong",273,412,506
"090","École élémentaire Les Oustalous",450,191,172
"073","Maison des Associations",118,150,481
"098","Centre Socio-Culturel Alban Minville",73,262,764
"198","École élémentaire Cuvier",303,228,465
"126","Salle Lafage",280,440,379
"195","École élémentaire Cuvier",425,344,442
"078","Gymnase Jean Moulin",325,373,413
