"","nom","Briancon_PS","Scalli","Adrada","Menendez","Moudenc_DVD","Leonardelli_RN","Cottrel","Meilhac","Piquemal_LFI","Pedinotti","NonVotants_R1"
"034","Salle Osète",108,0,2,1,200,14,12,3,154,7,304
"249","Groupe Scolaire Anatole France",165,4,3,4,265,40,8,13,169,5,482
"193A","École élémentaire Cuvier",121,1,2,1,142,56,16,7,125,13,613
"188","Maison de quartier du Grand Selve",101,5,4,0,222,64,8,4,120,5,678
"172","École élémentaire des Sept Deniers",221,1,1,0,299,44,12,25,152,4,552
"189","École élémentaire Ernest Renan",111,2,6,2,128,24,4,8,121,9,433
"049","École élémentaire Jean Jaurès",196,1,5,1,370,36,11,6,164,9,381
"087","École élémentaire Maurice Jacquier",44,0,2,2,74,31,5,2,89,2,556
"068","Maison des Associations",221,2,1,0,159,22,4,7,173,4,350
"091","École élémentaire Buffon",60,5,3,1,114,26,6,4,98,8,536
"116","Gymnase Puig",207,1,3,1,168,22,9,12,291,8,336
"017","École élémentaire Bayard",223,0,2,0,276,8,7,10,229,10,362
"025","Espace Bonnefoy-Périole",172,2,1,1,149,16,9,6,209,4,410
"083","École élémentaire Le Pastel",176,2,0,0,271,29,8,11,85,9,293
"112B","École élémentaire Paul Bert",176,1,2,3,278,52,13,12,123,7,460
"001","Capitole – Salle des Commissions",128,1,1,2,278,13,7,2,170,10,440
"120","Gymnase Puig",165,1,3,1,189,27,8,16,257,8,477
"189A","École élémentaire Ernest Renan",69,4,1,0,112,19,6,4,137,4,505
"074","Gymnase Jean Moulin",80,4,2,2,104,11,3,2,147,9,669
"083A","École élémentaire Le Pastel",172,3,3,2,230,41,10,11,127,9,487
"250","Groupe Scolaire Anatole France",184,1,0,1,320,37,14,19,111,9,373
"221","École élémentaire Soupetard",140,1,1,2,242,39,8,5,165,2,569
"012","École élémentaire du Nord",218,2,2,2,274,26,4,8,208,8,328
"023","École élémentaire Bonnefoy",135,2,4,0,243,27,4,9,196,9,423
"147","Gymnase Petit Capitole",123,1,1,1,493,46,20,6,69,2,511
"030","École élémentaire Pierre et Marie Curie",167,3,4,1,171,35,5,13,163,5,384
"107","École élémentaire Paul Bert",110,2,2,1,205,47,9,13,122,5,599
"122","Gymnase Puig",174,2,2,0,211,32,8,22,257,6,477
"187","École maternelle Jean Dieuzaide",28,1,5,2,93,21,3,3,38,1,499
"239A","École élémentaire Henri Guillaumet",145,1,2,1,229,37,12,19,131,3,489
